datetime_UTC,site_id,depth_m,replicate,is_timeseries,volumetric_water_content_m3_m3,gravimetric_water_content_gH2O_gs,water_potential_kPa
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F1_Upslope,0.025,1,False,,0.6,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F1_Upslope,0.1,1,False,,0.54,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F1_Upslope,0.15,1,False,,0.4,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F2_Upslope,0.025,2,False,,0.54,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F2_Upslope,0.1,2,False,,0.56,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F2_Upslope,0.15,2,False,,0.42,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F3_Upslope,0.025,3,False,,1.09,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F3_Upslope,0.1,3,False,,1.1,
2016-09-12 07:00:00+00:00,Pumphouse_Floodplain_F3_Upslope,0.15,3,False,,0.31,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A1_Downslope,0.025,1,False,,0.07,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A1_Downslope,0.1,1,False,,0.13,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A1_Downslope,0.15,1,False,,0.12,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A1_Upslope,0.025,1,False,,0.08,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A1_Upslope,0.1,1,False,,0.09,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A1_Upslope,0.15,1,False,,0.08,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A2_Downslope,0.025,2,False,,0.15,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A2_Downslope,0.1,2,False,,0.17,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A2_Downslope,0.15,2,False,,0.26,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A2_Upslope,0.025,2,False,,0.13,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A2_Upslope,0.1,2,False,,0.1,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_A2_Upslope,0.15,2,False,,0.07,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B1_Downslope,0.025,1,False,,0.16,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B1_Downslope,0.1,1,False,,0.12,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B1_Downslope,0.15,1,False,,0.11,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B1_Upslope,0.025,1,False,,0.09,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B1_Upslope,0.1,1,False,,0.21,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B1_Upslope,0.15,1,False,,0.11,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B2_Downslope,0.025,2,False,,0.14,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B2_Downslope,0.1,2,False,,0.15,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B2_Downslope,0.15,2,False,,0.17,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B2_Upslope,0.025,2,False,,0.13,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B2_Upslope,0.1,2,False,,0.13,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_B2_Upslope,0.15,2,False,,0.11,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C1_Downslope,0.025,1,False,,0.11,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C1_Downslope,0.1,1,False,,0.13,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C1_Downslope,0.15,1,False,,0.1,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C1_Upslope,0.025,1,False,,0.11,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C1_Upslope,0.1,1,False,,0.1,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C1_Upslope,0.15,1,False,,0.09,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C2_Downslope,0.025,2,False,,0.19,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C2_Downslope,0.1,2,False,,0.19,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C2_Downslope,0.15,2,False,,0.15,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C2_Upslope,0.025,2,False,,0.17,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C2_Upslope,0.1,2,False,,0.2,
2016-09-12 07:00:00+00:00,Pumphouse_Hillslope_C2_Upslope,0.15,2,False,,0.16,
2016-10-20 07:00:00+00:00,Alpine_A1_Downslope,0.025,1,False,,0.34,
2016-10-20 07:00:00+00:00,Alpine_A1_Downslope,0.1,1,False,,0.36,
2016-10-20 07:00:00+00:00,Alpine_A1_Downslope,0.15,1,False,,0.43,
2016-10-20 07:00:00+00:00,Alpine_A1_Upslope,0.025,1,False,,0.61,
