datetime_UTC,site_id,depth_m,replicate,is_timeseries,volumetric_water_content_m3_m3,gravimetric_water_content_gH2O_gs,water_potential_kPa
2019-10-12 06:00:00+00:00,ph1,,1,True,0.143,,-8386.02
2019-10-14 06:00:00+00:00,ph1,,1,True,0.143,,-8198.41
2019-10-15 06:00:00+00:00,ph1,,1,True,0.143,,-8198.41
2019-10-15 06:00:00+00:00,ph2,,1,True,0.182,,-5897.25
2019-10-16 06:00:00+00:00,ph2,,1,True,0.182,,-5897.25
2019-10-19 06:00:00+00:00,ph2,,1,True,0.183,,-5534.1
2019-10-24 06:00:00+00:00,ph1,,1,True,0.144,,-6860.36
2019-10-27 06:00:00+00:00,ph1,,1,True,0.145,,-6601.79
2019-11-07 07:00:00+00:00,ph1,,1,True,0.146,,-6020.24
2019-11-08 07:00:00+00:00,ph2,,1,True,0.187,,-3776.7
2019-11-10 07:00:00+00:00,ph1,,1,True,0.146,,-5558.52
2019-11-10 07:00:00+00:00,ph2,,1,True,0.188,,-3664.08
2019-11-11 07:00:00+00:00,ph1,,1,True,0.146,,-5558.52
2019-11-12 07:00:00+00:00,ph1,,1,True,0.146,,-5649.44
2019-11-12 07:00:00+00:00,ph2,,1,True,0.188,,-3615.3
2019-11-13 07:00:00+00:00,ph1,,1,True,0.146,,-5742.27
2019-11-13 07:00:00+00:00,ph2,,1,True,0.188,,-3621.36
2019-11-14 07:00:00+00:00,ph2,,1,True,0.188,,-3670.23
2019-11-17 07:00:00+00:00,ph1,,1,True,0.147,,-5286.21
2019-11-17 07:00:00+00:00,ph2,,1,True,0.188,,-3573.25
2019-11-19 07:00:00+00:00,ph1,,1,True,0.148,,-4952.33
2020-06-07 06:00:00+00:00,ph1,,1,True,0.288,,-17.11
2020-06-08 06:00:00+00:00,ph1,,1,True,0.287,,-17.26
2020-06-10 06:00:00+00:00,ph1,,1,True,0.286,,-17.67
2020-06-11 06:00:00+00:00,ph1,,1,True,0.285,,-18.02
2020-06-12 06:00:00+00:00,ph1,,1,True,0.283,,-18.83
2020-06-14 06:00:00+00:00,ph1,,1,True,0.279,,-20.55
2020-06-15 06:00:00+00:00,ph1,,1,True,0.276,,-21.75
2020-06-16 06:00:00+00:00,ph1,,1,True,0.274,,-22.75
2020-06-17 06:00:00+00:00,ph1,,1,True,0.272,,-24.23
2020-06-18 06:00:00+00:00,ph1,,1,True,0.269,,-26.04
2020-06-19 06:00:00+00:00,ph1,,1,True,0.266,,-27.82
2020-06-20 06:00:00+00:00,ph1,,1,True,0.263,,-29.36
2020-06-21 06:00:00+00:00,ph1,,1,True,0.26,,-31.56
2020-06-22 06:00:00+00:00,ph1,,1,True,0.258,,-33.86
2020-06-23 06:00:00+00:00,ph1,,1,True,0.255,,-36.09
2020-06-24 06:00:00+00:00,ph1,,1,True,0.252,,-38.75
2020-06-26 06:00:00+00:00,ph1,,1,True,0.246,,-45.92
2020-06-27 06:00:00+00:00,ph1,,1,True,0.243,,-49.6
2020-06-28 06:00:00+00:00,ph1,,1,True,0.24,,-54.39
2020-06-29 06:00:00+00:00,ph1,,1,True,0.238,,-57.23
2020-06-30 06:00:00+00:00,ph1,,1,True,0.234,,-64.24
2020-07-01 06:00:00+00:00,ph1,,1,True,0.231,,-69.43
2020-07-02 06:00:00+00:00,ph1,,1,True,0.228,,-75.49
2020-07-03 06:00:00+00:00,ph1,,1,True,0.226,,-82.24
2020-07-05 06:00:00+00:00,ph1,,1,True,0.221,,-96.73
2020-07-06 06:00:00+00:00,ph1,,1,True,0.219,,-103.63
2020-07-07 06:00:00+00:00,ph1,,1,True,0.215,,-115.59
2020-07-08 06:00:00+00:00,ph1,,1,True,0.212,,-127.9
