datetime_UTC,site_id,depth_m,replicate,is_timeseries,volumetric_water_content_m3_m3,gravimetric_water_content_gH2O_gs,water_potential_kPa
2011-06-04 11:00:00+00:00,conifer,0.05,1,True,0.102,,
2011-06-04 11:00:00+00:00,conifer,0.15,1,True,0.155,,
2011-06-04 11:00:00+00:00,conifer,0.5,1,True,0.371,,
2011-06-04 12:00:00+00:00,conifer,0.05,1,True,0.106,,
2011-06-04 12:00:00+00:00,conifer,0.15,1,True,0.151,,
2011-06-04 12:00:00+00:00,conifer,0.5,1,True,0.269,,
2011-06-04 13:00:00+00:00,conifer,0.05,1,True,0.112,,
2011-06-04 13:00:00+00:00,conifer,0.15,1,True,0.151,,
2011-06-04 13:00:00+00:00,conifer,0.5,1,True,0.338,,
2011-06-04 14:00:00+00:00,conifer,0.05,1,True,0.106,,
2011-06-04 14:00:00+00:00,conifer,0.15,1,True,0.156,,
2011-06-04 14:00:00+00:00,conifer,0.5,1,True,0.293,,
2011-06-04 15:00:00+00:00,conifer,0.05,1,True,0.112,,
2011-06-04 15:00:00+00:00,conifer,0.15,1,True,0.156,,
2011-06-04 15:00:00+00:00,conifer,0.5,1,True,0.284,,
2011-06-04 16:00:00+00:00,conifer,0.05,1,True,0.111,,
2011-06-04 16:00:00+00:00,conifer,0.15,1,True,0.163,,
2011-06-04 16:00:00+00:00,conifer,0.5,1,True,0.284,,
2011-06-04 17:00:00+00:00,conifer,0.05,1,True,0.104,,
2011-06-04 17:00:00+00:00,conifer,0.15,1,True,0.159,,
2011-06-04 17:00:00+00:00,conifer,0.5,1,True,0.291,,
2011-06-04 18:00:00+00:00,conifer,0.05,1,True,0.091,,
2011-06-04 18:00:00+00:00,conifer,0.15,1,True,0.167,,
2011-06-04 18:00:00+00:00,conifer,0.5,1,True,0.291,,
2011-06-04 19:00:00+00:00,conifer,0.05,1,True,0.091,,
2011-06-04 19:00:00+00:00,conifer,0.15,1,True,0.156,,
2011-06-04 19:00:00+00:00,conifer,0.5,1,True,0.291,,
2011-06-04 20:00:00+00:00,conifer,0.05,1,True,0.114,,
2011-06-04 20:00:00+00:00,conifer,0.15,1,True,0.156,,
2011-06-04 20:00:00+00:00,conifer,0.5,1,True,0.344,,
2011-06-04 21:00:00+00:00,conifer,0.05,1,True,0.101,,
2011-06-04 21:00:00+00:00,conifer,0.15,1,True,0.126,,
2011-06-04 21:00:00+00:00,conifer,0.5,1,True,0.344,,
2011-06-04 22:00:00+00:00,conifer,0.05,1,True,0.105,,
2011-06-04 22:00:00+00:00,conifer,0.15,1,True,0.16,,
2011-06-04 22:00:00+00:00,conifer,0.5,1,True,0.26,,
2011-06-04 23:00:00+00:00,conifer,0.05,1,True,0.102,,
2011-06-04 23:00:00+00:00,conifer,0.15,1,True,0.16,,
2011-06-04 23:00:00+00:00,conifer,0.5,1,True,0.35,,
2011-06-05 00:00:00+00:00,conifer,0.05,1,True,0.112,,
2011-06-05 00:00:00+00:00,conifer,0.15,1,True,0.16,,
2011-06-05 00:00:00+00:00,conifer,0.5,1,True,0.319,,
2011-06-05 01:00:00+00:00,conifer,0.05,1,True,0.106,,
2011-06-05 01:00:00+00:00,conifer,0.15,1,True,0.164,,
2011-06-05 01:00:00+00:00,conifer,0.5,1,True,0.319,,
2011-06-05 02:00:00+00:00,conifer,0.05,1,True,0.108,,
2011-06-05 02:00:00+00:00,conifer,0.15,1,True,0.14,,
2011-06-05 02:00:00+00:00,conifer,0.5,1,True,0.319,,
2011-06-05 03:00:00+00:00,conifer,0.05,1,True,0.11,,
