datetime_UTC,site_id,depth_m,replicate,is_timeseries,volumetric_water_content_m3_m3,gravimetric_water_content_gH2O_gs,water_potential_kPa
2024-11-10 00:30:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 00:30:00+00:00,ER-LLN1,0.25,2,True,,,-34.65
2024-11-10 00:30:00+00:00,ER-LLN1,0.25,3,True,,,-7870.0
2024-11-10 00:30:00+00:00,ER-LLN1,0.6,1,True,,,-6721.0
2024-11-10 00:30:00+00:00,ER-LLN1,0.6,2,True,,,-34.73
2024-11-10 00:40:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 00:40:00+00:00,ER-LLN1,0.25,2,True,,,-36.38
2024-11-10 00:40:00+00:00,ER-LLN1,0.25,3,True,,,-7976.0
2024-11-10 00:40:00+00:00,ER-LLN1,0.6,1,True,,,-6861.0
2024-11-10 00:40:00+00:00,ER-LLN1,0.6,2,True,,,-35.37
2024-11-10 00:50:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 00:50:00+00:00,ER-LLN1,0.25,2,True,,,-39.59
2024-11-10 00:50:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 00:50:00+00:00,ER-LLN1,0.6,1,True,,,-6751.0
2024-11-10 00:50:00+00:00,ER-LLN1,0.6,2,True,,,-36.7
2024-11-10 01:00:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 01:00:00+00:00,ER-LLN1,0.25,2,True,,,-42.64
2024-11-10 01:00:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 01:00:00+00:00,ER-LLN1,0.6,1,True,,,-6694.0
2024-11-10 01:00:00+00:00,ER-LLN1,0.6,2,True,,,-38.12
2024-11-10 01:10:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 01:10:00+00:00,ER-LLN1,0.25,2,True,,,-45.74
2024-11-10 01:10:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 01:10:00+00:00,ER-LLN1,0.6,1,True,,,-6614.0
2024-11-10 01:10:00+00:00,ER-LLN1,0.6,2,True,,,-39.54
2024-11-10 01:20:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 01:20:00+00:00,ER-LLN1,0.25,2,True,,,-49.27
2024-11-10 01:20:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 01:20:00+00:00,ER-LLN1,0.6,1,True,,,-6628.0
2024-11-10 01:20:00+00:00,ER-LLN1,0.6,2,True,,,-40.74
2024-11-10 01:30:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 01:30:00+00:00,ER-LLN1,0.25,2,True,,,-53.29
2024-11-10 01:30:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 01:30:00+00:00,ER-LLN1,0.6,1,True,,,-6637.0
2024-11-10 01:30:00+00:00,ER-LLN1,0.6,2,True,,,-41.83
2024-11-10 01:40:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 01:40:00+00:00,ER-LLN1,0.25,2,True,,,-57.76
2024-11-10 01:40:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 01:40:00+00:00,ER-LLN1,0.6,1,True,,,-6644.0
2024-11-10 01:40:00+00:00,ER-LLN1,0.6,2,True,,,-42.97
2024-11-10 01:50:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 01:50:00+00:00,ER-LLN1,0.25,2,True,,,-61.81
2024-11-10 01:50:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 01:50:00+00:00,ER-LLN1,0.6,1,True,,,-6692.0
2024-11-10 01:50:00+00:00,ER-LLN1,0.6,2,True,,,-44.19
2024-11-10 02:00:00+00:00,ER-LLN1,0.25,1,True,,,-7999.0
2024-11-10 02:00:00+00:00,ER-LLN1,0.25,2,True,,,-65.2
2024-11-10 02:00:00+00:00,ER-LLN1,0.25,3,True,,,-7999.0
2024-11-10 02:00:00+00:00,ER-LLN1,0.6,1,True,,,-6728.0
